time_local,Mobile Lab O3,time_UTC
2024-07-31 15:00:00,73.81347222222222,2024-07-31 21:00:00
2024-07-31 16:00:00,79.08361111111111,2024-07-31 22:00:00
2024-07-31 17:00:00,78.42291666666667,2024-07-31 23:00:00
2024-07-31 18:00:00,69.02622227070022,2024-08-01 00:00:00
2024-07-31 19:00:00,66.48230555555556,2024-08-01 01:00:00
2024-07-31 20:00:00,61.27166666666667,2024-08-01 02:00:00
2024-07-31 21:00:00,52.42369444444444,2024-08-01 03:00:00
2024-07-31 22:00:00,50.34544444444444,2024-08-01 04:00:00
2024-07-31 23:00:00,51.03761111111111,2024-08-01 05:00:00
2024-08-01 00:00:00,48.41916666666667,2024-08-01 06:00:00
2024-08-01 01:00:00,51.78169444444445,2024-08-01 07:00:00
2024-08-01 02:00:00,52.672555555555554,2024-08-01 08:00:00
2024-08-01 03:00:00,55.111472222222226,2024-08-01 09:00:00
2024-08-01 04:00:00,52.9835,2024-08-01 10:00:00
2024-08-01 05:00:00,43.13558333333334,2024-08-01 11:00:00
2024-08-01 06:00:00,20.349722222222223,2024-08-01 12:00:00
2024-08-01 07:00:00,15.0245,2024-08-01 13:00:00
2024-08-01 08:00:00,20.677138888888887,2024-08-01 14:00:00
2024-08-01 09:00:00,33.96230555555555,2024-08-01 15:00:00
2024-08-01 10:00:00,47.300111111111114,2024-08-01 16:00:00
2024-08-01 11:00:00,58.79113767645345,2024-08-01 17:00:00
2024-08-01 12:00:00,68.93404680183569,2024-08-01 18:00:00
